station;to station;azimuth;distance m
Cape May Lighthouse;Stone;103.461550000000000;32718.600
Cape May Lighthouse;Egg Island Lighthouse;150.843794444444000;31268.270
Egg Island Lighthouse;Stone;39.998952777777800;25744.490
Egg Island Lighthouse;Mahon;90.376869444444400;22789.760
Cape Henlopen Lighthouse;Stone;139.530583333333000;32550.560
Cape Henlopen Lighthouse;Cape May Lighthouse;211.909372222222000;20249.390
Brandywine Shoal Lighthouse;Stone;95.170102777777800;18677.980
Brandywine Shoal Lighthouse;Egg Island Lighthouse;174.530891666667000;21498.460
Stone;Hartley;123.901336111111000;35770.230
Stone;Mahon;162.442655555556000;20828.700
Mahon;Kent;49.392072222222200;31699.030
Mahon;Hartley;90.181938888888900;23406.220
Hartley;Kent;1.652547222222220;20717.010
Hartley;Barclay;75.037172222222200;16039.960
Kent;Hope;101.531677777778000;27378.670
Kent;Barclay;138.030600000000000;22280.810
Barclay;Hope;46.965344444444400;16287.280
Barclay;Still Pond;138.973966666667000;25396.850
Hope;Linstid;97.035147222222200;43362.590
Hope;Clough;135.320286111111000;24885.280
Turkey Point;Pooles Island;50.328602777777800;28476.320
Turkey Point;Osbornes Ruin;94.358500000000000;23447.790
Still Pond;Hope;350.932461111111000;30647.520
Still Pond;Clough;45.222680555555600;17861.210
Clough;Linstid;64.003477777777800;28382.250
Clough;Finlay;128.574100000000000;36758.530
Pooles Island;Linstid;41.454622222222200;29021.270
Pooles Island;Finlay;121.198830555556000;26267.500
Swan Point;Kent Island North Base;15.799669444444400;19350.360
Swan Point;Linstid;71.949297222222200;18713.340
Osbornes Ruin;Pooles Island;355.640675000000000;20014.140
Osbornes Ruin;Finlay;73.128375000000000;21892.200
Kent Island North Base;Marriott;64.683355555555600;25808.680
Kent Island North Base;Linstid;135.633247222222000;17922.480
Kent Island South Base;Marriott;82.894486111111100;21303.160
Kent Island South Base;Taylor MD;141.790672222222000;13916.470
Taylor MD;Marriott;42.659522222222200;18471.340
